partner_name,address,city,state,county,partner_type
Child Advocacy Center of Rutherford County,"503 Highland Terrace, Suite C",Murfreesboro,Tennessee,Rutherford,other
Child Evangelism Fellowship of Tennessee,PO Box 1967,Brentwood,Tennessee,Williamson,other
Children Are People,"805 Teal Drive, Gallatin, TN, USA",Gallatin,Tennessee,Sumner,other
Children's Emergency Care Alliance of Tennessee,"3841 Green Hills Village Dr, Nashville, TN 37215, USA",Nashville,Tennessee,Davidson,medical_health
Children's Kindness Network,"7020 Stone Run Dr, Nashville, TN 37211, USA",Nashville,Tennessee,Davidson,other
Children's Museum Corporation of Rutherford County / Discovery Center at Murfree Spring,"502 SE Broad St, Murfreesboro, TN 37130, USA",Murfreesboro,Tennessee,Rutherford,other
"Chin Up, Girl","4183 Franklin Road, Murfreesboro, TN, USA",Murfreesboro,Tennessee,Rutherford,other
Chinese Arts Alliance of Nashville,P.O. Box 121841,Nashville,Tennessee,Davidson,other
Choosing Justice Initiative,"1623 Haynes Meade Cir, Nashville, TN 37207, USA",Nashville,Tennessee,Davidson,other
Choral Arts Link,4200 Kings Court,Nashville,Tennessee,Davidson,other
Cho-Zen,"511b Hill Street, Springfield, TN, USA",Springfield,Tennessee,Robertson,other
Christian Community Services,"601 Benton Avenue, Nashville, TN, USA",Nashville,Tennessee,Davidson,community_development
Christian Cooperative Ministry,"201 Madison Street, Madison, TN, USA",Nashville,Tennessee,Davidson,community_meals
CHRISTIAN EDUCATION INCORPORATED / Ezell-Harding Christian School,"574 Bell Road, Antioch, TN, USA",Antioch,Tennessee,Davidson,school_summer
Christian Schools,"619 W Due West Ave, Madison, TN 37115, USA",Madison,Tennessee,Davidson,school_summer
Chrysalis Oral Health Care Alliance,6980 Moores Lane,Brentwood,Tennessee,Williamson,medical_health
Circle Players,P.O. Box 22985,Nashville,Tennessee,Davidson,other
Citizens for Brentwood Green Space,PO BOX 1994,Brentwood,Tennessee,Williamson,other
City of Mount Juliet Animal Shelter Volunteer Organization,115 Industrial Drive,Mt. Juliet,Tennessee,Wilson,other
Civic Design Center,"138 2nd Avenue North #106, Nashville, TN, USA",Nashville,Tennessee,Davidson,community_development
Civic TN,5016 Centennial Blvd.,Nashville,Tennessee,Davidson,other
"Classical 615, a fiscally sponsored project of the Arts & Business Council","1900 Belmont Blvd, Nashville, TN 37212, USA",Nashville,Tennessee,Davidson,other
Club 51 AAU,P.O. Box 282,Antioch,Tennessee,Davidson,other
Coach Boyce Smith Scholarship Fund,PO Box 1289,Springfield,Tennessee,Robertson,other
Coaching: Life Matters,"7100 Executive Center Dr suite 105, Brentwood, TN, USA",Brentwood,Tennessee,Williamson,other
Colby's Army,P.O. Box 90464,Nashville,Tennessee,Davidson,other
Common Events,"819 Newcomb Street, Franklin, TN, USA",Franklin,Tennessee,Williamson,other
CommuniServe,402B Uptown Square,Murfreesboro,Tennessee,Rutherford,community_development
Communities In Schools of Tennessee,"500 Interstate Blvd S, Nashville, TN 37210, USA",Nashville,Tennessee,Davidson,school_summer
Community Arts of Bellevue / Arts Bellevue,106 Belle Glen Dr.,Nashville,Tennessee,Davidson,other
Community Care Fellowship,511 South 8th Street,Nashville,Tennessee,Davidson,homeless_outreach
Community Child Care,129 West Fowlkes Street #1270,Franklin,Tennessee,Williamson,school_summer
Community Child Care Services,"182 Executive Park Drive, Hendersonville, TN, USA",Hendersonville,Tennessee,Sumner,school_summer
Community Enrichment Partnership,508 Autumn Spring Ct,Franklin,Tennessee,Williamson,community_development
Community Foundation of Middle Tennessee,"3421 Belmont Boulevard, Nashville, TN, USA",Nashville,Tennessee,Davidson,community_development
Community Helpers of Rutherford County,1809 Memorial Blvd,Murfreesboro,Tennessee,Rutherford,community_meals
Community Homeless Outreach & Support / The Brooks House,"219 Virginia Avenue, Lebanon, TN, USA",Lebanon,Tennessee,Wilson,homeless_outreach
Community Homes 33,325 Manzano Rd,Madison,Tennessee,Davidson,transitional_housing
Community Housing Partnership of Williamson County,129 W. Fowlkes Street,Franklin,Tennessee,Williamson,transitional_housing
Community Life Bridge,"177 E Main St # 1, Hendersonville, TN 37075, USA",Hendersonville,Tennessee,Sumner,community_development
Community Options,2815 Patriot Way,Nashville,Tennessee,Davidson,medical_health
Community Resource Center,"218 Omohundro Pl, Nashville, TN 37210, USA",Nashville,Tennessee,Davidson,community_development
Community Servants,113 Stonewall Drive,Smyrna,Tennessee,Rutherford,community_meals
