address,latitude,longitude
"4120 Buenaview Boulevard, Nashville, TN, USA",36.227564,-86.829704
"7090 Nolen Park Circle, Nolensville, Tennessee, USA",35.9692873,-86.6714326
"1811 Osage Street, Nashville, TN, USA",36.177028,-86.810004
"265 West Thompson Lane, Murfreesboro, TN, USA",35.9110992,-86.3909951
"197 Imperial Blvd, Hendersonville, TN, USA",36.3017609,-86.6317973
"2817 West End Avenue, Nashville, Tennessee, USA",36.144374,-86.812215
"4102 Granny White Pike, Nashville, TN, USA",36.1040601,-86.7966077
"606 Millwood Drive, Nashville, Tennessee, USA",36.1310694,-86.7140444
"1030 16th Ave South, Nashville, Tennessee, USA",36.1449266,-86.7926189
"4300 Park Avenue, Nashville, TN, USA",36.151285,-86.838483
"1809 Memorial Blvd, Murfreesboro, TN 37129, USA",35.8917688,-86.3824544
"104 Grandview Ave, Nashville, TN, USA",36.1240247,-86.7529011
"1704 Charlotte Avenue, Nashville, TN, USA",36.1590347,-86.7992379
"1310 Ordway Pl, Nashville, TN 37206, USA",36.1802254,-86.7465633
"2123 8th Avenue South, Nashville, TN, USA",36.1280125,-86.77769
"283 Plus Park Blvd, Nashville, TN 37217, USA",36.1294724,-86.7255994
"402 Lorna Drive, Nashville, TN, USA",36.1582802,-86.6679475
"1316 Stewart Creek Rd, Murfreesboro, TN 37129, USA",35.8774037,-86.5556018
"2245 Rosa L Parks Blvd, Nashville, Tennessee, USA",36.1931384,-86.8035352
"1723B 23rd Ave N, Nashville, TN 37208, USA",36.1820712,-86.8144325
"3534 West End Ave, Nashville, TN 37205, USA",36.1333498,-86.8287199
"981 Old Lebanon Dirt Rd, Hermitage, TN 37076, USA",36.1882621,-86.6109375
"2787 Smith Springs Rd, Nashville, TN 37217, USA",36.0890059,-86.6133959
"7117 Cooper Ln, Fairview, Tennessee, USA",35.9875891,-87.0883654
"901 Mountain Valley Drive, Nashville, TN, USA",36.0936658,-86.9265059
"326 21st Ave N, Nashville, TN 37203, USA",36.1555542,-86.8048976
"124 1st Ave S, Franklin, TN 37064, USA",35.925574,-86.865767
"824 Patricia Dr, Nashville, TN 37217, USA",36.1371708,-86.7048361
"3201 Dickerson Pike, Nashville, Tennessee, USA",36.233254,-86.758536
"2400 Clifton Ave, Nashville, TN, USA",36.158256,-86.81275
"6483 Clarksville Pike, Joelton, TN 37080, USA",36.3168682,-86.8787248
"4908 Kentucky Ave, Nashville, TN, USA",36.1600147,-86.846639
"108 Chapel Ave, Nashville, TN 37206, USA",36.1833893,-86.7355535
"858 West Trinity Lane, Nashville, Tennessee, USA",36.2070301,-86.8021199
"700 Norwood Dr, Nashville, Tennessee, USA",36.0978663,-86.7660999
"7721 Whites Creek Pike, Joelton, TN 37080, USA",36.2926219,-86.8517216
"319 Murfreesboro St, Murfreesboro, TN 37127, USA",35.8485688,-86.3926814
